Address,Beds,Baths,Type,Area_in_sqft,Furnishing,Age_of_listing_in_days,Location,Latitude,Longitude,Distance_to_center,Geo_cluster,Location_score,Rent_per_sqft
271,3,2,1,1800,1,12,16,25.2913041,55.3744578,14.173435968993358,22,0.07336872984612597,38.888888888888886
1225,4,2,4,4889,1,12,85,25.0476902,55.23820948643042,17.711418618087812,21,0.10834237896477104,83.86173041521783
1901,2,2,1,1450,1,12,41,25.03827075,55.145695642320376,22.349156098642457,16,0.18999865429335974,58.62068965517241
1531,5,5,5,1881,0,12,38,24.987364,55.373964,26.238177176120132,13,0.02858391491608553,79.21318447634238
410,3,2,5,3569,1,12,26,25.04875135,55.26728851815184,17.28988131878473,5,0.09169033944292032,67.24572709442421
667,1,2,1,713,1,12,75,25.0559446,55.20746502861806,17.683153466798274,0,0.14352733363341924,120.617110799439
1617,1,2,1,744,0,12,73,25.0690625,55.141165591907736,19.92409075423687,3,0.37522924942586444,127.68817204301077
1500,0,2,1,410,0,12,29,25.0627549,55.2392983,16.05248347673344,21,0.11889059677545145,121.95121951219512
1150,1,2,1,770,1,12,57,25.0321379,55.219353,19.817861705840954,23,0.10858320810714238,88.31168831168831
1629,0,2,1,526,1,13,75,25.0559446,55.20746502861806,17.683153466798274,0,0.14352733363341924,85.55133079847909
981,1,2,1,748,0,13,75,25.0559446,55.20746502861806,17.683153466798274,0,0.14352733363341924,93.58288770053476
341,11,2,0,10000,1,13,33,25.23559045,55.29672026315799,4.296076586563405,24,0.30838188047021675,290.0
2816,1,2,1,693,1,13,55,25.118441,55.387147,15.13623779554719,12,0.06781772982364577,86.58008658008659
2614,2,2,1,1323,1,13,91,25.1180879,55.1342009,16.79059674810551,18,0.3276456507366631,215.41950113378684
2728,1,2,1,1015,0,13,91,25.1180879,55.1342009,16.79059674810551,18,0.3276456507366631,246.3054187192118
8,5,2,5,3331,1,13,79,25.1101209,55.3676993,14.333287144770624,4,0.07576623736348041,105.07355148604024
1420,1,2,0,2500,1,13,39,25.2727936,55.305334,8.296920750403924,7,0.16500673453561238,112.0
593,1,2,1,560,1,13,82,25.1541673,55.2906695,5.955753699234372,8,0.20074222542252243,107.14285714285714
1394,1,2,1,636,0,13,98,25.177246,55.30791298414965,4.828022717759925,28,0.23451258674729025,172.9559748427673
1240,1,2,1,615,0,13,42,25.18668425,55.27470526460112,2.0450237867988426,2,0.6365788823752315,227.64227642276424
565,0,2,1,351,1,13,82,25.1541673,55.2906695,5.955753699234372,8,0.20074222542252243,119.65811965811966
2178,1,2,1,864,0,13,50,25.0786415,55.1352524,19.547766787715513,3,0.533832792351182,127.3148148148148
2129,1,2,1,722,1,13,29,25.0627549,55.2392983,16.05248347673344,21,0.11889059677545145,101.10803324099724
2627,1,2,1,847,0,13,42,25.18668425,55.27470526460112,2.0450237867988426,2,0.6365788823752315,247.93388429752065
2013,1,2,1,682,0,13,75,25.0559446,55.20746502861806,17.683153466798274,0,0.14352733363341924,109.97067448680352
559,0,2,1,328,1,13,82,25.1541673,55.2906695,5.955753699234372,8,0.20074222542252243,121.95121951219512
2627,2,2,1,1449,0,13,42,25.18668425,55.27470526460112,2.0450237867988426,2,0.6365788823752315,203.58868184955145
2789,3,2,1,1712,1,13,50,25.0786415,55.1352524,19.547766787715513,3,0.533832792351182,157.71028037383178
2229,3,2,5,2054,1,13,110,25.01085145,55.28887629766314,21.561773702627068,15,0.061112947796148696,73.0282375851996
170,2,2,1,1200,1,13,33,25.23559045,55.29672026315799,4.296076586563405,24,0.30838188047021675,69.58333333333333
652,1,2,1,953,1,13,50,25.0786415,55.1352524,19.547766787715513,3,0.533832792351182,157.39769150052467
1653,5,2,5,5533,1,13,70,25.0203281,55.20083862592119,21.618745002941527,23,0.10918387933487078,112.95861196457618
711,0,2,1,574,0,13,54,25.0930937,55.38032579883814,16.585431759585255,4,0.06137167422709732,121.94947735191636
2548,1,2,1,887,1,13,42,25.18668425,55.27470526460112,2.0450237867988426,2,0.6365788823752315,146.56144306651635
2023,1,2,1,918,0,13,50,25.0786415,55.1352524,19.547766787715513,3,0.533832792351182,130.718954248366
606,3,2,0,1942,0,13,69,25.0778021,55.13518094856796,19.61940470844985,3,0.5235815321214037,216.2718846549949
1528,3,2,1,1400,1,13,75,25.0559446,55.20746502861806,17.683153466798274,0,0.14352733363341924,78.57142857142857
2171,2,2,1,1515,1,13,82,25.1541673,55.2906695,5.955753699234372,8,0.20074222542252243,112.2112211221122
516,1,2,1,896,0,13,75,25.0559446,55.20746502861806,17.683153466798274,0,0.14352733363341924,100.44642857142856
983,3,2,5,2414,0,13,38,24.987364,55.373964,26.238177176120132,13,0.02858391491608553,47.63877381938691
572,1,2,1,582,1,13,82,25.1541673,55.2906695,5.955753699234372,8,0.20074222542252243,127.14604810996563
1136,4,2,4,2017,0,13,75,25.0559446,55.20746502861806,17.683153466798274,0,0.14352733363341924,128.90431333663858
1715,2,2,4,1185,1,13,84,25.1640592,55.28566124091724,4.755203251779568,8,0.2451916554850332,143.45991561181435
1634,1,2,1,605,1,13,58,25.0410289,55.2516876,18.243803106756843,5,0.0951001702912769,123.96694214876032
2907,3,2,4,1702,1,13,38,24.987364,55.373964,26.238177176120132,13,0.02858391491608553,58.75440658049354
244,0,2,1,450,1,13,33,25.23559045,55.29672026315799,4.296076586563405,24,0.30838188047021675,155.55555555555554
2377,0,2,1,351,1,13,58,25.0410289,55.2516876,18.243803106756843,5,0.0951001702912769,113.96011396011396
170,2,2,1,1180,1,13,33,25.23559045,55.29672026315799,4.296076586563405,24,0.30838188047021675,70.76271186440678
2327,4,2,5,2508,1,13,28,25.0651524,55.3227884007741,16.333630466918517,27,0.07508507513131484,89.71291866028709
562,0,2,1,377,1,13,82,25.1541673,55.2906695,5.955753699234372,8,0.20074222542252243,132.6259946949602
